"activityname";"subjectID";"mean.value.";"variable.signal";"variable.calc";"variable.direction"
"1";"LAYING";1;0.22159824394;"tBodyAcc";"mean()";"X"
"2";"LAYING";1;-0.0405139534294;"tBodyAcc";"mean()";"Y"
"3";"LAYING";1;-0.11320355358;"tBodyAcc";"mean()";"Z"
"4";"LAYING";1;-0.9280564692;"tBodyAcc";"std()";"X"
"5";"LAYING";1;-0.83682740562;"tBodyAcc";"std()";"Y"
"6";"LAYING";1;-0.826061401628;"tBodyAcc";"std()";"Z"
"7";"LAYING";1;-0.24888179828;"tGravityAcc";"mean()";"X"
"8";"LAYING";1;0.70554977346;"tGravityAcc";"mean()";"Y"
"9";"LAYING";1;0.4458177198;"tGravityAcc";"mean()";"Z"
"10";"LAYING";1;-0.8968300184;"tGravityAcc";"std()";"X"
"11";"LAYING";1;-0.90772000676;"tGravityAcc";"std()";"Y"
"12";"LAYING";1;-0.85236629022;"tGravityAcc";"std()";"Z"
"13";"LAYING";1;0.0810865342;"tBodyAccJerk";"mean()";"X"
"14";"LAYING";1;0.0038382040088;"tBodyAccJerk";"mean()";"Y"
"15";"LAYING";1;0.010834236361;"tBodyAccJerk";"mean()";"Z"
"16";"LAYING";1;-0.958482112;"tBodyAccJerk";"std()";"X"
"17";"LAYING";1;-0.9241492736;"tBodyAccJerk";"std()";"Y"
"18";"LAYING";1;-0.9548551108;"tBodyAccJerk";"std()";"Z"
"19";"LAYING";1;-0.016553093978;"tBodyGyro";"mean()";"X"
"20";"LAYING";1;-0.064486124088;"tBodyGyro";"mean()";"Y"
"21";"LAYING";1;0.14868943626;"tBodyGyro";"mean()";"Z"
"22";"LAYING";1;-0.87354386782;"tBodyGyro";"std()";"X"
"23";"LAYING";1;-0.9510904402;"tBodyGyro";"std()";"Y"
"24";"LAYING";1;-0.9082846626;"tBodyGyro";"std()";"Z"
"25";"LAYING";1;-0.107270949192;"tBodyGyroJerk";"mean()";"X"
"26";"LAYING";1;-0.04151728689;"tBodyGyroJerk";"mean()";"Y"
"27";"LAYING";1;-0.0740501211;"tBodyGyroJerk";"mean()";"Z"
"28";"LAYING";1;-0.9186085208;"tBodyGyroJerk";"std()";"X"
"29";"LAYING";1;-0.9679072436;"tBodyGyroJerk";"std()";"Y"
"30";"LAYING";1;-0.9577901596;"tBodyGyroJerk";"std()";"Z"
"31";"LAYING";1;-0.8419291525;"tBodyAccMag";"mean()";""
"32";"LAYING";1;-0.79514486386;"tBodyAccMag";"std()";""
"33";"LAYING";1;-0.8419291525;"tGravityAccMag";"mean()";""
"34";"LAYING";1;-0.79514486386;"tGravityAccMag";"std()";""
"35";"LAYING";1;-0.9543962646;"tBodyAccJerkMag";"mean()";""
"36";"LAYING";1;-0.9282456284;"tBodyAccJerkMag";"std()";""
"37";"LAYING";1;-0.874759548;"tBodyGyroMag";"mean()";""
"38";"LAYING";1;-0.81901016976;"tBodyGyroMag";"std()";""
"39";"LAYING";1;-0.96346103;"tBodyGyroJerkMag";"mean()";""
"40";"LAYING";1;-0.9358409828;"tBodyGyroJerkMag";"std()";""
"41";"LAYING";1;-0.9390990524;"fBodyAcc";"mean()";"X"
"42";"LAYING";1;-0.86706520518;"fBodyAcc";"mean()";"Y"
"43";"LAYING";1;-0.8826668762;"fBodyAcc";"mean()";"Z"
"44";"LAYING";1;-0.9244374346;"fBodyAcc";"std()";"X"
"45";"LAYING";1;-0.8336255561;"fBodyAcc";"std()";"Y"
"46";"LAYING";1;-0.81289155944;"fBodyAcc";"std()";"Z"
"47";"LAYING";1;-0.158792670508;"fBodyAcc";"meanFreq()";"X"
"48";"LAYING";1;0.097534841586;"fBodyAcc";"meanFreq()";"Y"
"49";"LAYING";1;0.08943765522;"fBodyAcc";"meanFreq()";"Z"
"50";"LAYING";1;-0.9570738838;"fBodyAccJerk";"mean()";"X"
"51";"LAYING";1;-0.9224626098;"fBodyAccJerk";"mean()";"Y"
"52";"LAYING";1;-0.9480609042;"fBodyAccJerk";"mean()";"Z"
"53";"LAYING";1;-0.9641607086;"fBodyAccJerk";"std()";"X"
"54";"LAYING";1;-0.9322178704;"fBodyAccJerk";"std()";"Y"
"55";"LAYING";1;-0.9605869872;"fBodyAccJerk";"std()";"Z"
"56";"LAYING";1;0.132419092398;"fBodyAccJerk";"meanFreq()";"X"
"57";"LAYING";1;0.024513618956;"fBodyAccJerk";"meanFreq()";"Y"
"58";"LAYING";1;0.02438794528;"fBodyAccJerk";"meanFreq()";"Z"
"59";"LAYING";1;-0.850249174586;"fBodyGyro";"mean()";"X"
"60";"LAYING";1;-0.9521914948;"fBodyGyro";"mean()";"Y"
"61";"LAYING";1;-0.909302721;"fBodyGyro";"mean()";"Z"
"62";"LAYING";1;-0.8822964508;"fBodyGyro";"std()";"X"
"63";"LAYING";1;-0.9512320494;"fBodyGyro";"std()";"Y"
"64";"LAYING";1;-0.9165825082;"fBodyGyro";"std()";"Z"
"65";"LAYING";1;-0.003546795856;"fBodyGyro";"meanFreq()";"X"
"66";"LAYING";1;-0.091529130882;"fBodyGyro";"meanFreq()";"Y"
"67";"LAYING";1;0.01045812566;"fBodyGyro";"meanFreq()";"Z"
"68";"LAYING";1;-0.8617676481;"fBodyAccMag";"mean()";""
"69";"LAYING";1;-0.7983009404;"fBodyAccMag";"std()";""
"70";"LAYING";1;0.08640856294;"fBodyAccMag";"meanFreq()";""
"71";"LAYING";1;-0.9333003608;"fBodyBodyAccJerkMag";"mean()";""
"72";"LAYING";1;-0.9218039756;"fBodyBodyAccJerkMag";"std()";""
"73";"LAYING";1;0.26639115416;"fBodyBodyAccJerkMag";"meanFreq()";""
"74";"LAYING";1;-0.8621901854;"fBodyBodyGyroMag";"mean()";""
"75";"LAYING";1;-0.82431943968;"fBodyBodyGyroMag";"std()";""
"76";"LAYING";1;-0.1397750127;"fBodyBodyGyroMag";"meanFreq()";""
"77";"LAYING";1;-0.9423669466;"fBodyBodyGyroJerkMag";"mean()";""
"78";"LAYING";1;-0.9326606676;"fBodyBodyGyroJerkMag";"std()";""
"79";"LAYING";1;0.17648590708;"fBodyBodyGyroJerkMag";"meanFreq()";""
"80";"LAYING";1;0.0213659655642;"angle(tBodyAccMean,gravity)";"";""
"81";"LAYING";1;0.00306040735;"angle(tBodyAccJerkMean),gravityMean)";"";""
"82";"LAYING";1;-0.001666984698;"angle(tBodyGyroMean,gravityMean)";"";""
"83";"LAYING";1;0.08443716468;"angle(tBodyGyroJerkMean,gravityMean)";"";""
"84";"LAYING";1;0.4267062264;"angle(X,gravityMean)";"";""
"85";"LAYING";1;-0.52034381798;"angle(Y,gravityMean)";"";""
"86";"LAYING";1;-0.35241310896;"angle(Z,gravityMean)";"";""
"87";"LAYING";2;0.281373403958333;"tBodyAcc";"mean()";"X"
"88";"LAYING";2;-0.0181587397583333;"tBodyAcc";"mean()";"Y"
"89";"LAYING";2;-0.107245610416667;"tBodyAcc";"mean()";"Z"
"90";"LAYING";2;-0.974059464791667;"tBodyAcc";"std()";"X"
"91";"LAYING";2;-0.98027739875;"tBodyAcc";"std()";"Y"
"92";"LAYING";2;-0.984233296875;"tBodyAcc";"std()";"Z"
"93";"LAYING";2;-0.509754238125;"tGravityAcc";"mean()";"X"
"94";"LAYING";2;0.752536639375;"tGravityAcc";"mean()";"Y"
"95";"LAYING";2;0.646834879583333;"tGravityAcc";"mean()";"Z"
"96";"LAYING";2;-0.959014441458333;"tGravityAcc";"std()";"X"
"97";"LAYING";2;-0.988211865208333;"tGravityAcc";"std()";"Y"
"98";"LAYING";2;-0.984230418125;"tGravityAcc";"std()";"Z"
"99";"LAYING";2;0.0825972511666667;"tBodyAccJerk";"mean()";"X"
"100";"LAYING";2;0.012254788451875;"tBodyAccJerk";"mean()";"Y"
"101";"LAYING";2;-0.00180264895625;"tBodyAccJerk";"mean()";"Z"
"102";"LAYING";2;-0.98587216875;"tBodyAccJerk";"std()";"X"
"103";"LAYING";2;-0.98317254125;"tBodyAccJerk";"std()";"Y"
"104";"LAYING";2;-0.988442014375;"tBodyAccJerk";"std()";"Z"
"105";"LAYING";2;-0.01847660675;"tBodyGyro";"mean()";"X"
"106";"LAYING";2;-0.111800824583333;"tBodyGyro";"mean()";"Y"
"107";"LAYING";2;0.144882846104167;"tBodyGyro";"mean()";"Z"
"108";"LAYING";2;-0.988275232916667;"tBodyGyro";"std()";"X"
"109";"LAYING";2;-0.982291608958333;"tBodyGyro";"std()";"Y"
"110";"LAYING";2;-0.960306560416667;"tBodyGyro";"std()";"Z"
"111";"LAYING";2;-0.101974134208333;"tBodyGyroJerk";"mean()";"X"
"112";"LAYING";2;-0.0358590176083333;"tBodyGyroJerk";"mean()";"Y"
"113";"LAYING";2;-0.0701783020833333;"tBodyGyroJerk";"mean()";"Z"
"114";"LAYING";2;-0.993235849166667;"tBodyGyroJerk";"std()";"X"
"115";"LAYING";2;-0.989567537916667;"tBodyGyroJerk";"std()";"Y"
"116";"LAYING";2;-0.98803582125;"tBodyGyroJerk";"std()";"Z"
"117";"LAYING";2;-0.977435485208333;"tBodyAccMag";"mean()";""
"118";"LAYING";2;-0.972873912916667;"tBodyAccMag";"std()";""
"119";"LAYING";2;-0.977435485208333;"tGravityAccMag";"mean()";""
"120";"LAYING";2;-0.972873912916667;"tGravityAccMag";"std()";""
"121";"LAYING";2;-0.987741696041667;"tBodyAccJerkMag";"mean()";""
"122";"LAYING";2;-0.98551807625;"tBodyAccJerkMag";"std()";""
"123";"LAYING";2;-0.950011569583333;"tBodyGyroMag";"mean()";""
"124";"LAYING";2;-0.961164053958333;"tBodyGyroMag";"std()";""
"125";"LAYING";2;-0.991767074166667;"tBodyGyroJerkMag";"mean()";""
